song_name,song_artist,track_id,weeks,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Whoopty,CJ,5vGLcdRuSbUhD8ScwsGSdA,"['2020-11-06', '2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']",[],0.719,0.648,3,-7.6,0,0.125,0.2,0,0.127,0.66,140.201
Therefore I Am,Billie Eilish,54bFM56PmE4YLRnqpW6Tha,"['2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['electropop', 'pop']",0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009
מה אתה רוצה,Ella Lee,1inqeo4qN7t9nSPiwZtR82,"['2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']",['israeli pop'],0.694,0.669,6,-6.722,1,0.0385,0.0685,0,0.114,0.618,115.146
רוקדים עם הדמעות,Itay Levi,5bwpX9WRkHC4GFWPVomfiM,"['2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']",['israeli mediterranean'],0.631,0.45,1,-7.74,1,0.0431,0.186,0,0.164,0.237,137.934
לא אחד של אחרות,Dudu Aharon,00UyvHMfvWyj73BNHNHyAp,"['2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04']","['israeli mediterranean', 'israeli pop', 'mizrahi']",0.608,0.48,5,-8.347,0,0.0317,0.402,0,0.11,0.423,141.976
HOLIDAY,Lil Nas X,6zFMeegAMYQo0mt8rXtrli,"['2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']",0.81,0.511,5,-6.924,0,0.164,0.12,0,0.0832,0.837,151.947
אח שלנו מתגרש,"Arutz Hakibud, Roy Kafri",0OSLHsqneB4dhrzMtTKy5t,['2020-11-13'],['israeli hip hop'],0.684,0.796,1,-6.391,1,0.0335,0.0309,0,0.234,0.719,92.032
Cut It Out,"Daniela Spector, Ben Spector",2N4sY98YXdi0P2hOsu485T,"['2020-11-13', '2020-12-04', '2020-12-18']",['israeli pop'],0.51,0.681,11,-8.494,0,0.0279,0.176,0.000636,0.126,0.855,85.946
Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,"['2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['modern alternative rock', 'modern rock', 'pop']",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053
Prisoner (feat. Dua Lipa),Miley Cyrus,5JqZ3oqF00jkT81foAFvqg,"['2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['dance pop', 'pop', 'pop dance', 'post-teen pop']",0.781,0.67,3,-3.912,0,0.0452,0.0103,0,0.0761,0.595,127.99
אמן על הילדים,Hanan Ben Ari,2B2tINzI2NSCEixQWlQBIK,"['2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']",['israeli pop'],0.458,0.369,10,-12.132,0,0.0711,0.305,1.74e-06,0.339,0.239,53.437
Life Goes On,BTS,249gnXrbfmV8NG6jTEMSwD,['2020-11-20'],"['k-pop', 'k-pop boy group']",0.566,0.716,1,-5.733,1,0.0424,0.00691,0,0.37,0.45,81.068
Angels Like You,Miley Cyrus,1daDRI9ahBonbWD8YcxOIB,['2020-11-27'],"['dance pop', 'pop', 'pop dance', 'post-teen pop']",0.672,0.642,5,-4.035,1,0.0313,0.0981,0,0.1,0.494,121.981
כמה מתוק,Jasmin Moallem,05ryQJip5j6ExMhvB6o6f4,"['2020-11-27', '2020-12-18', '2021-01-01', '2021-01-15']",['israeli pop'],0.722,0.206,3,-10.336,1,0.0676,0.84,0,0.111,0.305,82.448
הכל מהתחלה (Prod. By Triangle),Yam Refaeli,7fUjUu56vWXzi4sW3KdjYe,"['2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']",['israeli pop'],0.76,0.647,11,-5.353,0,0.117,0.0982,8.78e-06,0.31,0.893,118.988
