song_name,song_artist,track_id,weeks,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
תגיד לי je t'aime,עדן בן זקן,2QciwYcdJLtFYda7vIQYgs,"['4/4/2019', '4/11/2019', '4/18/2019', '5/16/2019', '5/23/2019']","['israeli mediterranean', 'israeli pop', 'mizrahi']",0.378,0.385,3,-8.941,0,0.0421,0.822,0.0562,0.103,0.206,114.912
עכשיו הלב פתוח,בניה ברבי,2UnjouMKvceTMggAGjBSYB,"['4/4/2019', '4/11/2019', '4/18/2019', '5/16/2019', '5/23/2019', '5/30/2019']","['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",0.648,0.454,9,-8.915,0,0.0361,0.537,0.0000135,0.187,0.237,128.07
HP,Maluma,1LIqNVhaIgxXUt2eVoIQJ3,"['4/4/2019', '4/11/2019', '4/18/2019']","['reggaeton', 'reggaeton colombiano']",0.837,0.791,4,-3.157,0,0.0773,0.252,0.00000114,0.188,0.618,91.98
Always Remember Us This Way,Lady Gaga,2rbDhOo9Fh61Bbu23T2qCk,"['4/4/2019', '4/11/2019', '4/18/2019', '5/16/2019']","['dance pop', 'pop', 'pop dance']",0.553,0.502,0,-5.972,1,0.0409,0.299,0,0.764,0.296,129.976
מתגעגעת,נתן גושן,7esGtFDnsMBKjKKkq6QwzY,"['4/11/2019', '4/18/2019', '5/16/2019', '5/23/2019', '5/30/2019']",['israeli pop'],0.598,0.346,1,-7.23,0,0.0463,0.0339,0,0.534,0.185,137.516
גלבי,נרקיס,3x6L6PkgaO3Z3Tf9dk8NcT,"['4/11/2019', '4/18/2019']",['israeli pop'],0.379,0.419,4,-6.983,0,0.027,0.376,0.00000443,0.466,0.126,162.067
Bury a friend,Billie Eilish,4SSnFejRGlZikf02HLewEF,"['4/11/2019', '4/18/2019', '5/16/2019', '5/23/2019', '5/30/2019', '6/6/2019', '6/13/2019']","['electropop', 'pop']",0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046
עדן חסון,כפיות,0j8Tyyr5LV22r6yVM7Lhrp,"['4/18/2019', '4/30/2020', '6/4/2020', '6/11/2020', '6/18/2020', '1/7/2021', '1/14/2021']",['israeli mediterranean'],0.517,0.401,0,-6.474,0,0.0381,0.838,0,0.126,0.625,135.212
Old Town Road (remix),"Lil Nas X, Billy Ray Cyrus",2YpeDb67231RjR0MgVLzsG,['4/18/2019'],"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041
365 ,"Katy Perry, Zedd",2XWjPtKdi5sucFYtVav07d,"['4/18/2019', '5/23/2019']","['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",0.745,0.693,2,-5.479,0,0.034,0.339,0,0.123,0.248,98.039
שבט אחים ואחיות,אמני ישראל,6V9doxBqWIdHujB55uxOiL,"['5/16/2019', '5/23/2019', '5/30/2019', '6/6/2019', '6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019', '7/25/2019']",,0.598,0.631,9,-7.815,0,0.0371,0.201,0,0.125,0.348,124.08
כפיות,עדן חסון,02hXZxgl6XwtAdK9y2sb6B,"['5/16/2019', '5/23/2019', '5/30/2019', '6/6/2019', '6/13/2019']",['israeli mediterranean'],0.636,0.495,11,-7.474,1,0.0446,0.506,0,0.118,0.334,119.779
never go back,dennis lloyd,2QrXzOqLCVDRZHkToA0tSR,"['5/16/2019', '5/23/2019']","['israeli pop', 'tropical house']",0.421,0.653,9,-4.85,0,0.398,0.0135,0,0.114,0.733,78.6
ממה את מפחדת,"בניה ברבי, אייל גולן",706pZPUcsKsREHM8RqHaY0,"['5/16/2019', '5/23/2019', '5/30/2019', '6/6/2019', '6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019', '7/25/2019', '8/1/2019']","['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",0.642,0.384,11,-8.05,0,0.0381,0.635,0,0.114,0.387,131.796
אנחנו,גיא מזיג,6gIHkRPqADJwLexCpnapuF,"['5/16/2019', '5/23/2019', '5/30/2019', '6/6/2019']",['israeli pop'],0.403,0.752,9,-3.904,0,0.0281,0.195,0,0.0873,0.425,149.927
בלילות,רותם כהן,04fay70EbEGuUNBjnUgaU8,"['5/16/2019', '5/23/2019', '5/30/2019', '6/6/2019', '6/13/2019', '6/20/2019']",['israeli mediterranean'],0.316,0.604,1,-5.352,0,0.0388,0.681,0,0.837,0.207,80.656
old town road (remix),"lil nas x, billy ray cyrus",2YpeDb67231RjR0MgVLzsG,"['5/16/2019', '5/23/2019', '5/30/2019', '6/6/2019', '6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019']","['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041
i don't care,"ed sheeran, justin bieber",3HVWdVOQ0ZA45FuZGSfvns,"['5/16/2019', '5/23/2019', '5/30/2019', '6/6/2019', '6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019', '7/25/2019', '8/1/2019']","['pop', 'uk pop']",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956
low key,"ally brooke, tyga",1fPYeNbEnfXwCX3bmLpIW2,"['5/16/2019', '5/23/2019', '5/30/2019', '6/6/2019']","['dance pop', 'post-teen pop']",0.81,0.611,0,-7.978,0,0.221,0.155,0,0.0739,0.679,119.956
365,"Katy Perry, Zedd",2XWjPtKdi5sucFYtVav07d,"['5/16/2019', '5/30/2019']","['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",0.745,0.693,2,-5.479,0,0.034,0.339,0,0.123,0.248,98.039
medellin,"madonna, maluma",6mfu6jyFgvnXeTPQrYNs8d,"['5/16/2019', '5/23/2019', '5/30/2019']","['reggaeton', 'reggaeton colombiano']",0.814,0.683,1,-7.091,1,0.304,0.0596,0.0000192,0.671,0.473,91.963
jenny of oldstones,florence + the machine,1u0THw5xaGd7sYzJEh48Lt,"['5/16/2019', '5/23/2019']","['baroque pop', 'pop', 'uk alternative pop']",0.27,0.195,1,-10.653,0,0.0797,0.931,0.00000973,0.0949,0.171,46.489
הוליווד,ג'ימבו ג'יי,3X0epXt9NVsCRlXDzeqIbN,"['5/23/2019', '5/30/2019', '6/6/2019']",['israeli hip hop'],0.881,0.782,5,-4.577,0,0.14,0.222,0,0.0662,0.906,109.96
me!,"taylor swift, brendon urie",45bE4HXI0AwGZXfZtMp8JR,"['5/23/2019', '5/30/2019', '6/6/2019']","['dance pop', 'pop', 'pop dance']",0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148
יעשו לנו כבוד,עומר אדם,2VsihNYeb8uCaxmpr7L0GZ,"['5/30/2019', '6/6/2019', '6/13/2019', '6/20/2019']","['israeli mediterranean', 'israeli pop', 'mizrahi']",0.767,0.498,11,-5.995,1,0.376,0.566,0,0.325,0.61,129.919
nana banana,netta,1d4KILXseHFJws0vA8fv2U,"['5/30/2019', '6/6/2019', '6/13/2019']","['eurovision', 'israeli pop']",0.867,0.592,1,-5.105,0,0.0551,0.127,0.0000946,0.0611,0.908,137.073
soldi,mahmood,4szQkW1CDHqbRZGltXJdd3,"['5/30/2019', '6/6/2019', '6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019', '7/25/2019', '8/1/2019']",['italian pop'],0.729,0.589,3,-9.871,0,0.0483,0.0361,0,0.305,0.349,95.065
bad guy,billie eilish,2Fxmhks0bxGSBdJ92vM42m,"['5/30/2019', '6/6/2019', '6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019', '7/25/2019']","['electropop', 'pop']",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
אין יותר מועדונים,עדן חסון,0q3yDDxPh0k5nvgh2SPcsS,"['6/6/2019', '6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019', '7/25/2019', '8/1/2019', '8/8/2019', '8/15/2019']",['israeli mediterranean'],0.612,0.61,8,-5.241,1,0.0612,0.0952,0.00000603,0.0743,0.632,89.926
חצוף,נועה קירל,5JhqGzhPRmZdY3WBOCcMEl,"['6/6/2019', '6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019']",['israeli pop'],0.84,0.636,11,-7.516,1,0.0484,0.00338,0.00147,0.107,0.333,103.006
SOS,"Avicii, Aloe Blacc",6juGTugssqMlvAUSwFu6DD,"['6/6/2019', '6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019']","['dance pop', 'edm', 'pop', 'pop dance']",0.802,0.646,5,-6.121,0,0.0591,0.302,0,0.118,0.389,99.978
flora cash,you're somebody else,0tfb00bYXxz6NhkEc421Y2,"['6/6/2019', '6/13/2019', '6/20/2019', '6/27/2019']","['indie pop', 'scandipop', 'swedish indie folk']",0.685,0.562,9,-10.619,0,0.0311,0.00534,0.14,0.338,0.349,128.043
שממה,אורי בן ארי,4lBl6TVdZKF7KyLVw68JfP,"['6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019', '7/25/2019']",['israeli mediterranean'],0.475,0.484,7,-8.024,0,0.0446,0.493,0,0.107,0.412,139.614
Aura,Dennis Lloyd,5GoWczqfKJr4kBO93ClKa2,"['6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019', '7/11/2019']","['israeli pop', 'tropical house']",0.396,0.487,1,-8.115,0,0.0327,0.0515,0,0.147,0.254,162.931
if i can't have you,shawn mendes,3e5EiBnKg5u6SBzELxuSmD,"['6/13/2019', '6/20/2019']","['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",0.69,0.809,2,-4.198,1,0.0603,0.524,0,0.147,0.864,123.912
Piece Of Your Heart,"Meduza, Goodboys",1DFD5Fotzgn6yYXkYsKiGs,"['6/13/2019', '6/20/2019', '6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019', '7/25/2019', '8/1/2019', '8/8/2019', '8/15/2019']","['edm', 'pop dance', 'pop house', 'tropical house']",0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08
טמפרטורה,"עומר אדם, richie loop",1YBHjsD9R7kEgGnXBlONjy,"['6/20/2019', '6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019', '7/25/2019', '8/1/2019', '8/8/2019', '8/15/2019', '8/22/2019', '8/29/2019']","['israeli mediterranean', 'israeli pop', 'mizrahi']",0.817,0.753,8,-3.427,1,0.0497,0.0173,0.00000431,0.049,0.604,97.998
AWA, Hana Mash Hu Al Yaman,5ri4zqtWhG07hIuNNDWP76,"['6/20/2019', '6/27/2019', '7/4/2019']","['israeli indie', 'yemeni pop']",0.806,0.513,4,-6.208,1,0.0685,0.217,0,0.217,0.503,124.988
Late Night Feelings,"Mark Ronson, Lykke Li",7aQeWViSfRWSEwtJD86Eq0,"['6/20/2019', '6/27/2019', '7/4/2019']","['dance pop', 'neo soul', 'pop', 'pop dance']",0.688,0.729,4,-6.56,0,0.0573,0.437,0.00369,0.0928,0.469,110.055
שיר חדש,אברהם טל,2YPsQ3Zydd4IKP6gw9a1Fj,"['6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019']",['israeli pop'],0.616,0.493,1,-8.982,0,0.0986,0.642,0,0.105,0.288,147.546
מסע,אליעד,2WBNUsV0WH7Cmjr71viWfC,"['6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019', '7/25/2019', '8/1/2019', '8/8/2019', '8/15/2019', '8/22/2019', '8/29/2019', '9/5/2019', '9/12/2019', '9/19/2019', '10/3/2019']",['israeli pop'],0.803,0.664,0,-6.89,0,0.0382,0.116,0,0.0978,0.593,115.022
If I Can't Have You,Shawn Mendes,3e5EiBnKg5u6SBzELxuSmD,"['6/27/2019', '7/4/2019', '7/11/2019', '7/18/2019']","['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",0.69,0.809,2,-4.198,1,0.0603,0.524,0,0.147,0.864,123.912
Jerome,Lizzo,5eXVvM1QCIcX8upjemrz1j,"['6/27/2019', '7/4/2019', '7/11/2019']","['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'pop dance', 'pop rap', 'trap queen']",0.379,0.734,8,-5.648,0,0.204,0.188,0.00011,0.146,0.515,174.952
